id,meter_code,category,zone,date_creation
2996,N6AD267686,CE,NO,2021-07-23
2997,D7LS724138,S,N,2022-04-10
2998,E4QU151447,R4,E,2022-11-14
2999,G7JH474822,R3,N,2022-12-14
3000,K7PX173447,I,C,2021-01-25
3001,X6UU485166,I,O,2021-04-20
3002,C3SB715621,I,S,2021-12-23
3003,B6CA588437,R3,S,2021-01-07
3004,V8CB754111,R3,O,2023-03-22
3005,Y8RY865511,R4,N,2023-10-06
3006,J2EY165883,CE,NO,2023-02-18
3007,T8ID236377,P,NO,2022-12-08
3008,X6BK615636,R4,C,2022-02-20
3009,E6KJ242417,R1,O,2022-12-02
3010,G8TA845346,I,NO,2023-12-14
3011,M1VG118587,C,O,2022-01-21
3012,Y6KY154437,I,NO,2021-09-29
3013,E2KG868842,P,SO,2022-02-17
3014,A1IC266868,I,SO,2023-11-23
3015,U2ES574741,R3,SE,2023-09-22
3016,O3NB452148,R4,O,2023-06-23
3017,J4ET311125,R4,O,2022-06-27
3018,W3FN214338,C,NO,2022-08-06
3019,D6GL656274,R3,SE,2021-04-02
3020,B6FM248184,P,NO,2021-04-20
3021,Y4SX854555,R2,SE,2023-09-15
3022,E8TO736671,CE,S,2021-08-12
3023,H1BR753167,I,SO,2021-11-04
3024,Q8HI453865,CE,S,2021-07-05
3025,B8IT871842,P,E,2022-07-22
3026,B1AO582665,R3,SE,2023-09-06
3027,G6CC277532,P,SO,2022-07-25
3028,R1AA134426,R1,NO,2023-01-30
3029,N1IV174826,C,C,2022-09-13
3030,C8QI728878,CE,N,2022-12-22
3031,P8UC253782,R3,O,2021-03-19
3032,C5TB365343,S,SO,2023-09-21
3033,C5EL336853,R2,N,2023-02-03
3034,F7OQ776346,R2,O,2022-07-11
3035,F4UE842534,CE,E,2021-03-07
3036,I4BY243355,I,E,2023-02-25
3037,T6OS488114,R4,S,2022-03-26
3038,S6PT182881,R1,O,2022-01-29
3039,F8RH515138,R4,C,2022-04-19
3040,T1TC721142,C,S,2022-07-01
3041,N1OQ578147,R1,SO,2021-04-01
3042,D4UO745851,CE,C,2021-04-23
3043,Y4OT741534,R3,SE,2022-07-13
3044,C7CF724123,P,SO,2022-02-08
3045,S7EI637316,C,E,2022-05-23
3046,U8KX366245,S,SE,2022-12-05
3047,B6UH378357,I,S,2023-02-03
3048,Y4UI113665,CE,S,2021-07-19
3049,J7KV717767,P,SO,2023-10-17
3050,Y2VU778243,CE,SE,2022-10-19
3051,U2HN447144,CE,SO,2021-12-09
3052,R4QG753476,I,NE,2023-10-16
3053,G6KK376277,I,N,2023-03-29
3054,R7QT871765,I,SE,2022-06-07
3055,O3UW186816,R2,SE,2022-11-28
3056,I4VY372461,R2,E,2022-06-05
3057,P6NX744166,I,NO,2022-03-23
3058,T5AO278771,I,S,2022-10-13
3059,C3OR468217,R3,SO,2023-11-15
3060,U5DQ414634,R3,NO,2022-11-29
3061,J5CV161758,CE,NO,2023-07-27
3062,O5IA317333,R3,S,2023-05-30
3063,I3XT244837,R2,NO,2022-08-09
3064,F2YI451574,R2,O,2022-07-10
3065,N7GF374217,C,C,2022-12-18
3066,M2SA448478,I,S,2023-09-08
3067,M2BO863621,R3,C,2022-06-26
3068,E6MQ863247,R3,C,2022-05-20
3069,F5FE646426,I,S,2022-09-04
3070,M2WO743167,R4,E,2022-11-19
3071,U7IS528431,CE,C,2023-12-16
3072,R7KI636835,R1,C,2021-01-04
3073,J6RS855155,P,SE,2021-02-07
3074,N3KA482685,R1,C,2023-11-18
3075,O5GK515515,P,SO,2022-08-07
3076,F3JG454387,I,NE,2022-10-26
3077,M1KA585378,CE,C,2023-12-26
3078,G8OT748234,C,NE,2023-04-07
3079,R4OU354531,R4,C,2021-02-23
3080,X6AH726656,R3,NE,2023-01-12
3081,I4QY355267,R4,NO,2021-09-26
3082,Q1IN771385,R2,E,2023-07-02
3083,M3OW666255,R3,N,2021-04-07
3084,L1FG547543,R1,NO,2022-07-20
3085,N6AY618841,S,SO,2021-03-13
3086,U4SY288216,I,NE,2023-11-20
3087,R2CA648717,R3,SO,2021-07-14
3088,N2MF322287,C,C,2023-07-21
3089,H6MP724421,S,SE,2021-06-12
3090,O8HA431782,I,SO,2021-05-17
3091,M5NO772887,P,C,2023-04-23
3092,W6GT372218,R2,O,2021-06-09
3093,S5MW148283,CE,E,2022-09-06
3094,C3TW458252,C,NO,2023-05-29
3095,R5QS837724,R3,E,2023-07-23
3096,J7WD456417,R1,N,2021-02-06
3097,Y1GT853658,R2,NO,2022-12-30
3098,A7FS212425,R3,O,2022-05-20
3099,B1WE114633,I,O,2023-05-22
3100,W3YR774363,CE,SE,2023-08-19
3101,J8TE673173,I,SE,2021-06-25
3102,P1NM738535,S,NO,2023-03-22
3103,O8AL158276,I,S,2023-09-06
3104,O1IJ673754,C,S,2021-07-23
3105,V1AE778864,CE,NE,2021-04-19
3106,K8NW256636,CE,S,2021-02-15
3107,U1RN788165,C,S,2023-08-30
3108,R1WP731568,R2,SE,2022-07-29
3109,L7EW324123,I,C,2021-11-03
3110,W2RJ456766,I,NO,2022-07-29
3111,R2NU513624,R3,SO,2022-05-02
3112,O3HH763615,S,C,2022-06-23
3113,I4EY244228,R3,NE,2021-02-02
3114,Q2KR413258,C,E,2021-03-14
3115,P5TI481148,R2,NO,2023-07-13
3116,G6QC747123,R3,NE,2022-07-24
3117,L3RF753583,S,NO,2022-06-23
3118,T6IH351884,I,E,2021-09-13
3119,N3XH518435,S,N,2022-10-31
3120,D7CL352183,C,SE,2022-02-11
3121,N3EA185426,CE,SO,2021-05-15
3122,Y1IN158655,R2,O,2023-05-13
3123,B1BV627648,C,NE,2023-04-21
3124,E2UO711874,S,NO,2023-03-10
3125,P1OQ364841,S,C,2023-11-05
3126,M6LL264566,CE,O,2022-04-20
3127,J4XV183774,I,N,2022-01-24
3128,N6MR722228,R4,C,2021-09-09
3129,U2MW623713,P,O,2021-11-01
3130,I6HD658256,R2,E,2023-10-10
3131,S6DK628272,I,E,2023-12-08
3132,H8BN661826,R1,S,2022-12-04
3133,P5PD652525,R3,O,2023-10-10
3134,O3JP835177,CE,O,2021-10-12
3135,E3GP847734,R1,SO,2023-07-08
3136,N6OE377374,S,C,2022-08-03
3137,Q8YH742663,I,NE,2022-05-30
3138,F7QI365268,I,E,2023-07-05
3139,O4AV227342,R3,C,2022-04-22
3140,N8ND342282,P,SO,2022-11-28
3141,K5KS866613,R4,NE,2021-04-29
3142,Q2EU887886,P,C,2023-05-06
3143,C2OR438157,P,NE,2022-03-17
3144,P5FX836212,P,NO,2022-03-07
3145,K8IP332562,S,O,2021-05-08
3146,K5ER521781,R1,O,2021-12-24
3147,T5IJ517686,R4,SO,2021-03-14
3148,Y3QR788237,C,E,2023-05-31
3149,O5MJ754138,R4,SO,2023-07-15
3150,T5HT511535,I,NE,2023-07-05
3151,J7YG322442,I,N,2022-09-18
3152,O5MA327176,P,SE,2021-12-15
3153,C2AJ456654,C,E,2021-07-26
3154,J2WB744217,I,E,2022-06-05
3155,D1EP742625,S,SE,2023-04-08
3156,I8DQ118347,S,S,2023-03-18
3157,P1JS181864,R4,NE,2021-11-21
3158,T2BQ755831,P,SE,2023-03-05
3159,R1SM233686,I,SO,2021-10-04
3160,I5JV272216,CE,C,2023-10-19
3161,T3TX168265,R3,C,2021-06-27
3162,V6AE543442,S,NE,2021-08-18
3163,S7LV234511,R1,C,2023-07-13
3164,R3HD451348,S,S,2023-06-23
3165,E4RW338751,R1,E,2022-07-13
3166,V4YJ266312,R4,NE,2023-11-26
3167,T1MI128277,CE,N,2023-04-16
3168,Q6CP565777,R4,S,2022-07-01
3169,H1IU776514,R4,NE,2022-03-05
3170,B2SK686645,CE,N,2022-03-21
3171,K7RH227471,I,NE,2021-07-18
3172,R7HD512147,P,NE,2021-09-14
3173,E8NE433821,R2,E,2023-03-15
3174,J5MX484375,R2,NO,2022-08-23
3175,G1BO824835,P,SE,2023-03-17
3176,O4IF733287,R1,SE,2022-09-05
3177,H8VS236551,CE,NO,2021-06-25
3178,B6LG356787,CE,SO,2023-09-30
3179,L1RD252627,P,O,2021-03-06
3180,W3WP147716,R2,E,2022-12-08
3181,D4HG443644,R3,SE,2023-01-08
3182,A4RU176532,R4,NE,2021-03-16
3183,E7CT276478,R3,SO,2022-05-31
3184,M2HL645461,CE,C,2023-01-04
3185,N1OL345542,C,SO,2023-03-31
3186,V2YV414467,P,O,2022-04-03
3187,C2QM576274,R1,SE,2023-12-07
3188,T2AC457841,C,NO,2022-02-08
3189,C5UJ345714,I,NE,2022-06-24
3190,B3EY251871,R4,O,2023-10-10
3191,M1SH473723,S,NE,2023-09-07
3192,S8PY621761,R4,NE,2021-05-23
3193,Y1NT488537,CE,C,2022-02-20
3194,N4SK888873,S,O,2023-11-26
3195,V1JQ267288,R4,SE,2023-01-31
3196,M1DR648635,I,SO,2021-06-29
3197,L6BB462454,R1,E,2022-11-06
3198,Y6ID387723,I,NO,2021-09-02
3199,D1AN378836,I,SO,2021-08-25
3200,F6MB827828,C,NE,2021-05-02
3201,D3VP143756,I,O,2022-12-13
3202,X8MQ628272,I,SE,2023-03-15
3203,K7EL121727,R3,S,2021-10-09
3204,J3KH411555,P,E,2023-06-29
3205,L8IK342662,I,SE,2021-05-11
3206,U8QD833523,P,NE,2021-03-27
3207,X1XQ746651,I,NO,2021-05-25
3208,J1OU768711,R3,C,2022-02-25
3209,C7QQ234233,R3,NE,2022-07-16
3210,O8EE818833,R2,NO,2023-03-20
3211,C2JX211876,R4,SO,2023-01-10
3212,V6VL162346,I,S,2021-07-28
3213,J8AL468763,R4,SO,2021-10-16
3214,E7PP455834,I,NE,2021-10-25
3215,R2SB117238,I,E,2021-11-26
3216,E1XE877882,CE,O,2021-06-11
3217,T7YU118327,C,N,2023-12-01
3218,G2VL628641,R3,S,2022-07-04
3219,P1AO584888,R3,C,2023-12-29
3220,U8LB673553,P,E,2021-10-05
3221,R2DF851488,R3,NO,2022-11-04
3222,H2AY547121,I,SE,2023-07-02
3223,T3YX516685,CE,E,2022-04-08
3224,R8DV784676,C,SE,2023-05-09
3225,M4KF155242,R4,O,2023-07-11
3226,K6BW334861,I,E,2023-11-21
3227,Q7PF732686,R1,C,2021-05-30
3228,T6AA845352,R4,S,2023-07-12
3229,C5YI852778,C,O,2021-08-15
3230,C7CV634688,P,SO,2023-04-29
3231,I5SC367422,I,SO,2023-03-11
3232,L1AQ435588,R2,O,2021-03-13
3233,Q8EF348811,R3,SO,2022-12-28
3234,V6AF427563,R3,O,2022-10-18
3235,O7WU668346,I,N,2021-08-30
3236,V4CF177438,P,E,2023-01-03
3237,J5AW755318,S,SO,2022-12-21
3238,L3RD271148,R4,SO,2022-07-21
3239,W8XA686181,P,NE,2023-08-06
3240,B5ID728724,S,NE,2023-02-20
3241,L5IU633776,I,NE,2022-01-22
3242,Y5ET328753,C,NO,2023-04-01
3243,P7JM361175,R2,S,2022-07-09
3244,L3SB867244,CE,E,2021-05-28
3245,F5TQ341587,P,N,2023-12-16
3246,J4CD525426,C,NE,2022-06-12
3247,K2SB231185,I,S,2021-07-14
3248,B4AW876171,R1,N,2023-11-10
3249,Q8KJ127156,C,S,2022-12-20
3250,Q8DQ338845,CE,O,2023-05-03
3251,V8KG222684,R3,NO,2022-05-28
3252,P7EX642565,I,SO,2021-11-20
3253,W5VD758266,R2,NO,2022-12-10
3254,O6KL621666,R4,N,2022-08-14
3255,I5WL145454,R3,NE,2021-09-23
3256,C3WO766542,R1,O,2021-05-01
3257,V6OO445813,C,E,2023-12-24
3258,S7KN866375,R1,E,2021-03-07
3259,D2EH482426,R3,NE,2023-11-12
3260,K8PE762737,P,NE,2022-06-24
3261,R1WM767287,R4,N,2022-10-07
3262,W2QH511238,P,E,2022-05-28
3263,I4ED314175,I,NE,2023-11-20
3264,L3UB518637,R4,S,2023-03-05
3265,F7TQ266657,I,O,2023-12-26
3266,P4WP461332,I,NE,2023-03-17
3267,K4QX156358,C,S,2021-06-17
3268,L2LT316162,P,SE,2021-11-28
3269,O1WY484547,R2,E,2023-01-21
3270,U3YY156625,I,SO,2022-11-19
3271,Y5NT177776,S,N,2023-11-04
3272,C5XK215431,P,N,2022-01-12
3273,R1FU735658,R2,E,2021-03-27
3274,C4JY215165,R1,E,2022-05-09
3275,E3CB421753,CE,N,2021-12-03
3276,M7VM786745,CE,NE,2021-08-19
3277,B4HV668742,R1,C,2022-06-06
3278,L4YS151626,I,N,2023-07-03
3279,S2YJ581721,P,C,2021-11-14
3280,O8FC428753,R1,N,2023-02-11
3281,U6JD882885,P,C,2023-09-06
3282,K8EY555242,P,NE,2022-01-21
3283,R8AF156266,C,N,2022-11-12
3284,V6WO423728,P,NE,2021-03-03
3285,S5SY853518,P,NE,2022-03-16
3286,D3QK323267,CE,SO,2023-06-08
3287,K6JH885375,R3,NO,2022-12-02
3288,O2KU585855,C,SO,2021-12-05
3289,W6YJ122142,R3,O,2021-08-01
3290,E4MD452377,CE,O,2021-09-22
3291,J4EY551114,P,C,2022-12-29
3292,R1YW121773,S,O,2022-06-25
3293,G7KT454531,R1,SO,2023-03-29
3294,Q8LD583377,R4,NE,2021-10-31
3295,U8CE216851,R3,NE,2022-08-31
3296,T1SX846473,I,S,2023-05-24
3297,A5QX452548,S,SE,2023-10-29
3298,F3PR148627,R3,O,2023-11-21
3299,P3OD714626,R4,E,2023-07-23
3300,I4HB635643,R1,NO,2021-01-14
3301,A1YD631258,I,SE,2022-08-31
3302,C6EK611715,S,SE,2022-07-21
3303,C2ME227425,CE,O,2021-01-12
3304,V7TN586627,CE,SE,2022-10-17
3305,O1QI432281,S,E,2021-09-15
3306,C7PQ383188,R1,C,2021-05-30
3307,U4FN876788,I,O,2022-03-25
3308,T5HM772383,P,NO,2022-04-23
3309,V5UR146443,I,SE,2021-12-26
3310,J8CO764873,P,C,2022-09-03
3311,W5FL825774,CE,C,2021-08-04
3312,R6QN454677,R4,SO,2023-02-07
3313,T3FC151858,CE,SE,2023-05-11
3314,M6NX764176,R4,NO,2022-12-09
3315,P3FD577778,R4,C,2021-10-07
3316,L8UU568412,CE,E,2021-04-09
3317,N1DI166587,CE,E,2021-12-26
3318,H3SW845432,R3,NE,2021-03-17
3319,O4RX611646,CE,NE,2021-08-09
3320,J7GS832471,R1,NE,2022-11-18
3321,O7XN817853,R4,C,2022-04-13
3322,U1SL228752,C,SE,2022-09-19
3323,X5MI446811,I,SE,2022-11-27
3324,S7XM437164,I,C,2023-04-27
3325,H6TH555248,R1,O,2021-09-23
3326,D6DH821556,CE,S,2022-07-30
3327,S4MR218664,R1,N,2023-07-30
3328,U7WX824125,CE,SE,2021-06-21
3329,C2YM211328,R3,NO,2022-11-24
3330,G7MN645571,R3,SE,2021-06-19
3331,P1SW376612,R2,SE,2022-05-04
3332,M6FP687251,S,O,2022-04-17
3333,H4FJ733843,S,S,2021-06-09
3334,V4FO874666,P,N,2022-04-29
3335,P3YF424561,R3,SO,2023-12-13
3336,F3SQ671366,C,E,2022-03-15
3337,R4RT782663,S,NE,2021-11-24
3338,D3SL636271,R1,C,2022-12-01
3339,G6UG748284,S,O,2023-11-19
3340,F3LA833833,R1,C,2023-08-24
3341,T1DU344371,C,NO,2023-09-30
3342,V2KW372334,C,S,2021-06-02
3343,D8TH387515,S,S,2021-05-30
3344,R6UC167148,I,NO,2023-01-06
3345,A2XY666614,R2,SO,2023-01-22
3346,R3HU313638,CE,O,2021-06-30
3347,T8KB642466,CE,C,2022-04-14
3348,D7FY284462,C,NO,2023-01-02
3349,V6NB275831,C,N,2022-10-11
3350,J6JE521431,R1,NO,2021-12-16
3351,S5XJ253281,CE,E,2022-10-13
3352,X5RR725286,CE,SE,2021-07-10
3353,W2DM766733,R4,SO,2021-12-29
3354,X1KR174551,C,SO,2023-02-20
3355,W6YQ767822,P,SE,2023-10-11
3356,Y8UF764637,S,SO,2021-12-07
3357,O2XS284621,R1,NE,2021-03-30
3358,U2WJ267458,P,O,2021-11-07
3359,T5HP526872,I,SE,2021-10-12
3360,Q8RO881252,R3,SE,2022-04-29
3361,F4RJ114836,CE,SE,2023-03-29
3362,R3UV174668,R3,SE,2022-06-30
3363,T1JM255642,P,E,2023-10-21
3364,F4OA781342,R4,NE,2022-03-10
3365,C5QF461528,R2,N,2023-01-12
3366,X4TY138272,R4,NE,2023-01-23
3367,X5XB577441,CE,S,2021-01-21
3368,R6WY726228,C,SO,2021-10-18
3369,J2RV318462,C,NO,2022-07-22
3370,Y6YW288673,R1,NO,2022-01-16
3371,B2DF863768,C,S,2023-02-13
3372,L1OE355225,C,C,2023-11-04
3373,H8CX418447,C,N,2023-07-01
3374,K6QF887622,R1,E,2022-10-30
3375,R8TQ162571,P,SO,2022-11-27
3376,L7CX653564,R4,N,2021-03-28
3377,J2RK125712,R2,N,2021-09-27
3378,I6CN766366,I,C,2023-03-29
3379,Y7EN476688,R3,N,2021-07-02
3380,O5UP246663,CE,E,2022-03-31
3381,X1RJ535643,R2,SE,2021-04-08
3382,K7DQ117226,R2,SO,2021-01-09
3383,T5KL423237,R1,C,2021-05-14
3384,T6CK432648,S,S,2023-11-11
3385,Y4XM535453,CE,N,2022-10-09
3386,B2PK434351,R2,SO,2023-05-26
3387,Q6SD142767,C,E,2022-10-27
3388,E4SV851788,P,SO,2023-02-11
3389,V6IF711555,R1,E,2022-11-22
3390,J1KS888262,R2,O,2021-10-13
3391,X2YP164857,I,SO,2023-05-30
3392,C5MC468284,R2,NO,2021-08-03
3393,I8OY414676,CE,N,2022-08-19
3394,O5XC222462,R1,C,2022-04-01
3395,D4CR381348,R2,NE,2023-09-11
3396,C2OU118534,R4,N,2023-12-15
3397,E5XF266318,R3,N,2021-06-18
3398,B2LK244348,I,S,2023-04-10
3399,X1UD437338,R3,C,2021-09-21
3400,J2TW864872,S,NE,2022-09-07
3401,M1TE813125,P,SO,2021-02-23
3402,M1HM565767,P,S,2023-10-31
3403,N3GI627588,R2,SO,2023-08-28
3404,R2PP352835,R2,N,2021-07-27
3405,O6XJ368814,I,NO,2021-01-10
3406,K8CP232422,I,SO,2022-03-30
3407,H4PR144684,R3,SO,2022-12-19
3408,L5XP141147,R3,NE,2023-06-08
3409,W4PA567611,R4,NE,2022-01-27
3410,N8PR485181,S,SO,2021-04-24
3411,Y2XP455125,P,SE,2022-11-21
3412,Q4PU383747,CE,S,2023-09-20
3413,K5OG725517,R2,O,2023-03-02
3414,X8SH611754,C,O,2022-11-03
3415,F6FB653423,I,N,2023-10-24
3416,A8SM258331,I,O,2021-06-13
3417,A5UD621473,R4,S,2021-08-11
3418,D6NV871738,P,NO,2022-02-03
3419,K8CF278544,S,SE,2021-09-11
3420,F2QV173848,R3,NE,2022-04-25
3421,J6LL715634,R2,E,2021-03-09
3422,K1RA257146,S,NO,2021-04-27
3423,T8NS835858,P,O,2021-07-23
3424,R8PO144178,R1,S,2023-01-12
3425,D4WF888652,I,N,2023-01-04
3426,N8NG821248,CE,SE,2022-03-19
3427,H5OE687148,R2,NE,2023-11-16
3428,P4KA585557,R1,E,2022-10-28
3429,A1VL645233,CE,O,2022-01-07
3430,E7WW446732,C,E,2022-01-08
3431,V2NL284263,R3,C,2021-09-08
3432,O1XJ185388,R2,E,2023-09-30
3433,H4VA362336,R4,C,2022-03-27
3434,V7OU772743,I,N,2021-06-11
3435,F1LN545551,I,C,2021-12-26
3436,H6OT837661,R4,C,2023-03-29
3437,J7OR843714,R2,E,2023-07-18
3438,E4OX673611,I,O,2022-07-21
3439,R1HC564732,CE,SE,2022-02-11
3440,Q8KS165472,P,N,2023-02-03
3441,Y5LO884416,R1,NE,2022-09-14
3442,S6DQ146345,P,E,2022-01-30
3443,N6FJ117362,R2,S,2021-06-09
3444,F3DT835121,I,O,2021-03-07
3445,A4WL836456,I,S,2023-02-08
3446,W6WG638741,I,SE,2021-12-21
3447,M8JF137446,I,C,2021-12-15
3448,R4JI788843,R3,N,2021-08-20
3449,O7GK652144,R3,SE,2022-11-16
3450,V2OH157187,P,C,2023-09-21
3451,H1DE357872,R3,SE,2021-11-01
3452,H4SL417352,R2,SO,2021-06-09
3453,X1SK877171,I,O,2022-05-21
3454,T1LP732136,C,S,2021-11-22
3455,K7QB523121,R3,SE,2023-02-17
3456,Q4QT336514,I,S,2021-02-23
3457,L4KO711441,I,NE,2023-04-19
3458,M1HH754388,S,N,2023-06-12
3459,G5TA745615,R4,O,2023-06-30
3460,K4UC542736,CE,O,2022-04-09
3461,F7CA411732,C,S,2023-01-19
3462,H2OD163868,CE,SE,2023-09-17
3463,J4LC757717,S,O,2021-07-19
3464,C3HW432235,C,O,2023-04-04
3465,F7QY481213,R2,SE,2022-01-25
3466,H3LW835338,S,S,2022-06-09
3467,Q7FI322748,R3,N,2021-08-09
3468,G8WP818173,R1,SE,2023-05-14
3469,W7TT345742,R1,NE,2022-05-07
3470,W2UT148718,R4,E,2022-05-31
3471,N4JX837346,R1,S,2022-02-21
3472,A7EY613753,C,E,2021-01-03
3473,H6MN241431,R1,S,2023-12-27
3474,D3BS762841,I,SE,2023-11-30
3475,Y8CL387462,R2,C,2022-10-15
3476,V5YI167346,R1,NE,2022-04-08
3477,M6PJ686142,R2,S,2023-08-29
3478,I2XF584637,I,SO,2022-02-10
3479,K1RV552487,S,NE,2021-07-26
3480,E8XS412517,C,E,2022-06-19
3481,R3EW775567,R4,SO,2023-08-18
3482,I1JM328837,P,N,2022-03-06
3483,R4FS165362,CE,O,2022-08-26
3484,N7RS236576,R1,NO,2021-04-07
3485,U8SF716154,R1,S,2023-12-28
3486,S8II317757,R3,N,2021-11-27
3487,G6UJ682877,R1,SO,2022-08-06
3488,T5SO428822,P,E,2023-08-07
3489,F2PE217872,P,O,2022-02-26
3490,I1OK434323,R3,S,2023-01-08
3491,K4QJ462425,P,C,2022-11-26
3492,R5BO488114,R3,S,2023-06-01
3493,K8JB614743,R1,N,2021-04-11
3494,J8JG316313,R1,SE,2023-07-15
3495,K2MF116458,S,O,2022-05-13
3496,B6YG316735,R3,NE,2021-02-25
3497,I5RH142453,R2,NO,2022-09-13
3498,Y7WB234376,I,NO,2022-05-01
3499,T5UO774151,I,S,2021-07-11
3500,V2BC675454,CE,E,2023-02-15
3501,Q5IP843878,R2,C,2021-11-22
3502,B5OT743241,R3,SO,2021-10-25
3503,V2GN382352,R1,O,2023-12-31
3504,Y8OE883566,R4,NE,2023-09-28
3505,J2FD762828,R2,N,2021-07-29
3506,B4OY381463,R2,C,2021-11-24
3507,C3EY154525,R1,SO,2022-04-20
3508,X8ED481318,P,NE,2022-08-14
3509,L2RO853551,I,NE,2021-04-17
3510,V5JQ565567,C,SO,2023-10-12
3511,G7BE225555,R3,NO,2023-12-11
3512,P2DU748776,I,E,2022-10-13
3513,U3LG238276,S,O,2022-08-07
3514,B8BJ216324,R4,O,2021-06-26
3515,O2YV678826,R2,SO,2022-06-02
3516,U8AH571465,R4,E,2021-12-21
3517,C7YU768433,P,C,2023-02-28
3518,U5RN263823,R4,C,2023-04-17
3519,R3XV734886,P,SE,2022-11-07
3520,R1MP831172,CE,O,2023-09-06
3521,F4DY461113,S,NE,2022-05-17
3522,N2ND654764,R2,E,2021-09-11
3523,P8PS147264,R3,SO,2023-03-10
3524,L7ES732531,I,SO,2021-10-24
3525,A4FN724335,I,NO,2022-09-20
3526,X2JJ564717,R4,SO,2023-08-04
3527,M2PA571343,R4,SE,2023-09-18
3528,B1JV784258,CE,C,2021-03-07
3529,N8OR311381,CE,N,2022-07-24
3530,G1BI376731,R3,NO,2023-11-27
3531,R4GV761584,R1,E,2023-08-11
3532,J6FY125881,R2,S,2021-11-28
3533,G6SF786711,C,NE,2022-10-24
3534,J8BU517534,I,E,2023-08-27
3535,K6YI637752,R3,NE,2023-06-07
3536,H7FC575663,I,SE,2023-09-10
3537,Y4TO434486,P,C,2023-11-03
3538,M3TH631621,R1,SE,2021-08-07
3539,J7GM137761,C,E,2021-12-28
3540,U6VG366555,R4,E,2023-07-05
3541,W3NT182331,CE,E,2023-04-26
3542,P4WK672581,R2,NO,2022-11-10
3543,P2RQ137554,S,NE,2022-10-23
3544,L5DE837432,I,O,2021-11-21
3545,Y3RN768887,I,S,2022-11-04
3546,R7VL371361,I,S,2021-02-10
3547,W6LW868411,I,O,2021-10-27
3548,C3GE517622,CE,N,2022-11-09
3549,L2HT451445,S,N,2022-02-04
3550,W5MA878527,CE,N,2023-01-05
3551,R4BC482446,R3,NO,2023-09-06
3552,I6KX531686,S,S,2023-12-26
3553,M6DD218484,R3,NO,2021-11-09
3554,L1AL456723,I,O,2022-07-21
3555,V3JG871462,C,E,2023-12-10
3556,P6IR542754,P,NO,2021-10-11
3557,Y8HD184183,C,C,2022-08-11
3558,K5JL581851,I,SE,2021-07-27
3559,X3GK648774,CE,E,2022-07-06
3560,E5SC588442,R3,SE,2021-12-09
3561,S6VA372612,CE,NO,2022-08-12
3562,P8AS186782,R3,SO,2022-09-25
3563,W5XJ421352,I,SO,2023-09-06
3564,X7JK534117,R2,NE,2022-01-13
3565,W6BY752455,CE,NO,2022-08-17
3566,F6JD316644,CE,N,2023-07-04
3567,E5YG384171,R4,S,2023-04-14
3568,Q6BY342573,I,O,2022-05-27
3569,Y6TB631368,C,S,2023-09-28
3570,Q2BE674538,CE,N,2022-11-19
3571,D3HH723554,CE,N,2022-05-09
3572,H8XO552514,R1,SE,2022-02-03
3573,M3FB872444,P,S,2021-03-15
3574,T8EV685533,P,O,2021-12-22
3575,M6WH383814,I,SE,2022-10-31
3576,P5JH176384,P,C,2023-06-23
3577,R5KK657457,R2,SE,2022-12-09
3578,B4VC126476,R1,N,2022-05-21
3579,F3FW685326,CE,C,2023-08-10
3580,I3UA113637,I,N,2021-04-14
3581,K8LH716273,R2,S,2021-02-21
3582,A3KL341385,I,NO,2022-01-25
3583,Y7LS425221,R1,NO,2021-09-01
3584,M4BG215123,C,E,2022-02-08
3585,X7WA176852,R3,NE,2022-07-21
3586,I3UK431371,P,S,2022-08-30
3587,P3FS837887,P,O,2023-05-14
3588,K2SY341537,C,SE,2023-12-07
3589,S2MS742885,P,E,2021-12-21
3590,L8SL625113,R4,E,2023-09-16
3591,D4TI485413,R1,SE,2023-04-26
3592,X2VS873132,R1,C,2023-02-20
3593,C2JE683818,P,O,2022-11-01
3594,Q1GS585715,P,NO,2022-07-25
3595,A7RW786448,R2,S,2021-04-02
3596,E1WE777421,P,N,2022-03-09
3597,U2HC613877,CE,E,2021-07-17
3598,A4QW637554,C,C,2023-06-05
3599,C3CV775366,R1,S,2022-04-11
3600,N2SV561588,R3,O,2022-08-18
3601,R6AJ373786,R1,SO,2022-03-16
3602,Y4CQ823451,P,SO,2022-10-17
3603,T6HN588662,CE,NE,2022-08-02
3604,M6RS118652,P,N,2021-02-13
3605,K1KX164687,R2,NO,2021-06-17
3606,F5XE728644,P,N,2023-01-11
3607,F5NQ832538,P,SO,2022-11-24
3608,W5EB771847,R2,SO,2021-05-15
3609,J3CJ181136,R4,NE,2021-10-14
3610,Y3DY245176,R2,NO,2023-04-09
3611,V5PS336282,S,O,2021-10-16
3612,M7RV542154,R2,SO,2023-04-04
3613,V8IQ526143,S,N,2023-07-09
3614,S5QO758145,C,C,2021-12-09
3615,V7YG168362,R1,SO,2021-02-27
3616,Y3WE425363,I,N,2023-12-16
3617,H5JE748185,I,SE,2021-08-23
3618,A6CD263355,R2,E,2023-04-28
3619,H2HJ122455,I,NE,2023-02-07
3620,F1TN568664,S,C,2021-02-07
3621,Q3CC251743,R4,NO,2022-06-30
3622,B4FT883835,R3,O,2022-11-25
3623,P3LO767114,C,NE,2022-03-26
3624,V1AU874751,R4,C,2022-02-11
3625,M8GR745233,S,S,2022-11-20
3626,E1HV153153,CE,NO,2022-12-31
